"id_filial";"descricao_filial";"pedido_nulo";"total";"status_6";"status_8";"carrinho"
"58088788-b640-4e11-80dc-ad53321ef0ca";Eletro Mateus A  Maranhense;395;460;47;10;393
"5a078f2b-9527-40e7-a382-c81fb59694ca";Eletro Mateus São Francisco;495;632;105;6;495
"5a3784c5-e668-44df-9877-78aa99342b2b";Umarizal;37;37;0;0;37
"5a3f43be-1e98-446b-bfbd-06af73f59d10";Mix Mateus Juazeiro - Atacado;1066;1369;250;20;1066
"5a5ba525-5167-41d6-8a34-ada14745f9a6";Supermercado Camiño Recanto Vinhais;24;24;0;0;24
"5b87ed75-e215-4578-bd0b-a21e7489f56f";Boteco Gelado Vinhais;14500;18798;3801;154;14484
"5c2847d7-e58b-4255-83e1-9a74b97c6951";Mix Mateus Marabá - Atacado;624;767;119;3;624
"5dffd88a-213c-4bf6-bec5-c0d6c461dcdf";Supermercado Camiño Cururupu;1;1;0;0;1
"5f611440-0cda-4e03-ba13-69f10d2e43ac";Camiño Barreirinhas - Boa Vista;1;1;0;0;1
"6083b405-2cf8-4628-b93b-dcf4d4a4b4d9";Eletro Mateus Canaã dos Carajás;169;201;4;2;169
"60f030d9-ce0a-4675-9b5b-2755ad990aef";Boteco Gelado Trapiche;51;58;5;1;51
"621b6a70-47be-4f1d-9f24-4bce0f8f1f44";Mix Mateus Bragança;2;2;0;0;2
"63e72429-6e54-4615-9cb2-e2c3bfced404";Eletro Mateus Vinhais;762;929;123;24;759
"65a589d8-8e7c-4baf-8ad4-9d8afa4c33e3";Mix Mais Trapiche;135;153;3;10;135
"65aa0c67-f9c3-4f29-8898-4b41a0b47462";Mix Mateus Teresina - Atacado;1642;2104;421;15;1642
"6690bb17-7678-48ee-86ea-01c4b36bec9f";Eletro Mateus Renascença;1425;1946;399;47;1424
"67f0e4f0-d600-4b7a-81e1-5cdb3c10bdc4";Supermercado Mateus Bacanga;132;132;0;0;132
"68b001ea-832c-4b96-99a6-e7ccd4900fee";Boteco Gelado Aracaju;139;165;16;3;139
"69fead4a-2a12-431f-9132-dc62199507cd";Boteco Gelado Renascença;2991;5783;2428;90;2987
"6a1bc61d-4985-405a-b004-3e8ce328512f";Eletro Mateus Lago da Pedra;328;429;67;3;328
"6a238509-c141-43de-b870-1c2ceed84d2d";Supermercado Mateus Cohatrac V;432;432;0;0;432
"6a7d52d4-dd60-425e-b1e6-db3c682f2137";Eletro Mateus Mercadinho;189;220;23;3;189
"6a908bc2-db23-4931-942e-c713507d1167";Boteco Gelado Península;7;7;0;0;7
"6b34d4d6-b9e1-4de3-8034-887e9b97443a";Mix São Mateus;1652;2960;1100;57;1650
"6b85109c-a360-4a1b-a498-ab15de3c6d6b";Boteco Gelado Cohama;15445;19377;3251;271;15425
"6bf2c63a-afed-4094-8419-19c923de2720";Eletro Mateus Dom Eliseu;35;55;8;0;35
"6d93a177-e63b-44f2-af03-452346767a1c";Camiño On-line Itinga Maranhão;1118;1450;118;35;1118
"6ef62d93-e0f0-4e39-a8d5-fce7cf0d06e5";Eletro União Parauapebas;87;101;6;2;87
"6f612d4b-ca6a-4dda-9697-445ff015fbfa";Supermercado Mateus Marabá;58;58;0;0;58
"706114e7-b79e-4890-a538-9e0d1eb34e33";Supermercado Mateus Cohatrac Ⅳ - Atacado;35;35;0;0;35
"7218f777-b433-43c3-a31c-3db1ba0da1e8";Eletro Mateus Tailândia;99;106;2;0;99
"72266e55-b293-4abc-974a-16871a30b52e";Eletro Mateus Cohama;2514;3449;700;66;2510
"73008092-c03c-4219-a1c3-7f1b2ef29039";Centro de Distribuição - 87 / Mercearia;49;49;0;0;49
"730f8fca-2ace-4efa-8d49-3a2e30a632db";Boteco Gelado Goiás;1075;1737;485;34;1072
"73c171bc-f9a9-4ebb-8796-e5b798a19074";Supermercado Camiño Itapecuru;35;35;0;0;35
"745a0bf0-02f0-4eaf-bf4f-f7f07f41b93d";Eletro Mateus Grajaú;211;265;34;2;211
"747d156a-efee-4375-b7e3-304cef78f588";Supermercado Mateus Cidade Operária;87;87;0;0;87
"74e82059-5c3d-45f5-82cd-dbfed1335b06";Eletro Mateus Tucuruí;110;136;17;1;110
"7530700b-398e-4b68-ad1f-192927462fe2";Boteco Gelado Cajazeiras;4003;5298;968;76;3996
"75740432-ebd1-499c-b6e9-86fe7f5ff4f9";Mix Mateus Santa Inês;236;236;0;0;236
"76af7a0f-48eb-455a-b52a-aa0695fa27db";Eletro Mateus Nova Marabá;110;136;13;0;110
"76b4033d-21ce-4378-8b93-332a2c2d5b3c";Supermercado Camiño Novo Repartimento;4;4;0;0;4
"77e9a3ee-4d2b-4962-ae46-58fc83c41310";Supermercado Camiño Miranda do Norte;1;1;0;0;1
"78038152-e44e-4819-a108-acc30aa639d3";Eletro Mateus Rua da Paz;360;421;39;4;360
"7869b345-ee61-497c-bc8e-61ceb5c84719";Eletro Mateus Sambaíba;165;196;22;3;165
"78b01f0d-8954-495a-a4c0-817618f41eb2";Mix Mateus Vinhais;34867;54500;18376;516;34826
"78d667b2-29c5-406d-af1a-62a2a517be4e";Eletro Mateus Balsas;739;905;113;9;738
"78e03c01-41e4-4350-9377-38a98163fdfc";Supermercado Mateus Piripiri;12;12;0;0;12
"79606ba9-d028-4c4b-b0f0-0834da75272c";Loja Virtual Anil;7;7;0;1;6
"79b04fc3-034b-4888-a8f2-16ef034b5a1d";Camiño Barreirinhas - Atins;3;3;0;0;3
"79e5b5ac-c843-406c-b06e-3988131ff581";Jóquei;29;29;0;1;28
"7bfa012c-daf0-4279-a8c3-29702e182c71";Mix Mateus Mario Covas;159;159;0;0;159
"7c0cdb58-452d-4f0c-8326-c1c19423a5b1";Eletro Mateus Kennedy;648;738;62;6;648
"7c87616b-79c9-4c6d-a81e-fae429ee0016";Spazio Calhau;2962;3019;38;16;2950
"7e7f208b-7b01-438d-8ff8-9608e2c56d10";Mix Mateus Tucuruí;103;103;0;0;103
"7e89fdc1-ab28-4896-8b61-caf125fcc618";Eletro Mateus Mauro Fecury;411;496;58;4;411
"8055d8fa-29cf-47f6-830d-01abe7f571a1";Mix Mateus Tamandaré;72;72;0;0;72
"8195b3fd-1f4a-4177-b080-0f1cc0c9b621";Eletro Mateus Pacajá;9;16;4;1;9
"82049581-1e50-4971-9b31-6ad760fddce0";Armazém - Mercearia;4;4;0;0;4
"82535930-48d5-424d-b22a-59cfbfbff0c0";Supermercado Camiño Grajaú;60;60;0;0;60
"82ae6f67-5ffb-41a3-bc0d-25742985e72c";Eletro Mateus Shopping da Ilha;682;837;116;15;681
"834a6831-0d05-4b9d-9f08-30c37b4a5f87";Mercado Teste;4;11;3;4;4
"854e0547-5076-42ea-8aea-43e4f1886fc2";Eletro Mateus Pedreiras;455;519;39;8;453
"857971ab-e1d2-4149-930b-a4740f4bcde0";Supermercado Mateus Buriticupu;92;92;0;0;92
"8887ca00-2c8a-4cd6-9582-ef4d03901d72";Eletro Mateus Buriticupu;395;505;70;6;395
"8ad46c85-addf-4b09-9478-a767a66141b6";Supermercado Mateus Canaã dos Carajás;1;1;0;0;1
"8c22adce-3a9f-463e-bb50-10ed07c9b497";Eletro Mateus União;65;78;7;2;65
"8d67e1d4-ae7e-4243-8336-aab970ba0a67";Mix Mateus Pedreiras;189;189;0;0;189
